Author,,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,Total
"van Vogt, A. E.",2,2,6,2,7,9,5,5,6,3,4,3,4,0,0,0,0,0,0,0,0,0,0,58
"Russell, Eric Frank",1,0,0,2,2,1,0,1,1,2,4,3,2,2,3,0,1,7,4,3,2,3,0,44
"Asimov, Isaac",1,1,1,4,3,1,3,5,1,1,3,4,2,1,3,1,2,1,3,1,0,0,0,42
"Anderson, Poul",0,0,0,0,0,0,0,0,0,1,1,3,4,0,0,3,3,4,2,5,7,1,4,38
"Padgett, Lewis",1,0,0,0,3,8,1,7,6,5,1,2,0,0,0,1,0,0,0,0,0,0,0,35
"Leinster, Murray",0,0,0,0,2,1,2,6,2,2,2,0,0,1,0,0,0,2,3,3,1,5,3,35
"Smith, George O.",2,0,0,0,1,2,4,5,8,5,2,0,0,0,0,0,0,0,0,0,0,3,0,32
"Jones, Raymond F.",1,0,0,1,1,3,4,2,3,3,0,1,3,1,2,1,1,1,1,0,0,0,0,29
"Jameson, Malcolm",1,1,2,5,5,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"Clement, Hal",3,0,0,0,3,1,1,1,2,1,0,3,0,2,0,3,0,0,1,0,3,0,0,24
"Heinlein, Robert A.",0,2,6,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,4,0,0,0,24
"de Camp, L. Sprague",1,1,3,3,2,1,0,0,0,0,0,5,5,1,0,0,0,1,0,0,1,0,0,24
"Sturgeon, Theodore",0,1,1,6,1,0,1,0,3,3,3,3,0,0,0,0,0,0,1,0,0,0,0,23
"Anvil, Christopher",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,5,5,23
"Simak, Clifford D.",0,0,3,2,1,2,6,0,2,1,0,1,0,1,0,0,2,0,0,0,1,0,0,22
"del Rey, Lester",0,2,4,0,4,1,2,1,0,0,0,1,0,1,2,0,1,1,0,1,0,0,0,21
"Budrys, Algis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,2,0,3,1,20
"Hubbard, L. Ron",0,0,4,0,5,0,0,0,0,3,2,3,3,0,0,0,0,0,0,0,0,0,0,20
"Garrett, Randall",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,4,4,4,19
,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"Chandler, A. Bertram",1,0,0,0,0,0,0,3,5,1,2,0,0,0,1,0,0,0,0,1,0,2,0,16
"Fyfe, H. B.",0,0,1,0,0,0,0,0,0,0,1,1,4,4,2,0,1,0,0,0,0,0,1,15
"Leiber, Fritz",0,0,0,0,0,4,4,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,14
"Rocklynne, Ross",0,1,3,1,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Dickson, Gordon R.",0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,3,5,0,13
"Silverberg, Robert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,12
"Williamson, Jack",0,0,1,1,1,0,0,0,0,2,3,0,0,3,1,0,0,0,0,0,0,0,0,12
"Miller, P. Schuyler",1,1,2,2,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Smith, E. E.",0,3,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,11
"O'Donnell, Lawrence",1,0,0,0,0,1,0,1,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,11
"Piper, H. Beam",0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,2,0,1,1,0,0,11
"Long, Frank Belknap",1,0,0,1,0,1,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10
